date;date_str;temp_max;temp_min;precipitation;temp_avg;temp_ma;difference;anomaly
2026-04-22;2026-04-22;16.3;6.6;0.0;11.45;;-1.450000000000001;False
2026-04-23;2026-04-23;19.6;8.4;0.0;14.0;12.725;1.0999999999999996;False
2026-04-24;2026-04-24;20.0;9.5;0.0;14.75;14.375;1.8499999999999996;False
2026-04-25;2026-04-25;21.1;10.5;0.0;15.8;15.275;2.9000000000000004;True
2026-04-26;2026-04-26;15.9;9.5;0.0;12.7;14.25;-0.20000000000000107;False
2026-04-27;2026-04-27;16.2;6.1;0.0;11.149999999999999;11.924999999999999;-1.7500000000000018;False
2026-04-28;2026-04-28;12.6;8.3;2.1;10.45;10.799999999999999;-2.450000000000001;True
